['2018-09-12 14:58:10', 'AAPL', -3, 220.44]
['2018-09-12 14:59:11', 'AAPL', 3, 220.41]
['2018-09-12 15:00:12', 'AAPL', 16, 220.39]
['2018-09-12 15:01:13', 'AAPL', 26, 220.84]
['2018-09-12 15:02:14', 'AAPL', 33, 220.905]
['2018-09-12 15:03:14', 'AAPL', 23, 221.065]
['2018-09-12 15:04:16', 'AAPL', 23, 221.225]
['2018-09-12 15:05:16', 'AAPL', 13, 221.29]
['2018-09-12 15:06:17', 'AAPL', 16, 221.26]
['2018-09-12 15:07:18', 'AAPL', 0, 221.14]
['2018-09-12 15:08:19', 'AAPL', 10, 221.26]
['2018-09-12 15:09:20', 'AAPL', 20, 221.52]
['2018-09-12 15:10:21', 'AAPL', 20, 221.62]
['2018-09-12 15:11:21', 'AAPL', 36, 222.09]
['2018-09-12 15:12:22', 'AAPL', 36, 222.45]
['2018-09-12 15:13:23', 'AAPL', 43, 221.97]
['2018-09-12 15:14:24', 'AAPL', 50, 221.77]
['2018-09-12 15:15:25', 'AAPL', 46, 221.84]
['2018-09-12 15:16:26', 'AAPL', 53, 222.155]
['2018-09-12 15:17:27', 'AAPL', 53, 221.96]
['2018-09-12 15:18:28', 'AAPL', 53, 221.87]
['2018-09-12 15:19:28', 'AAPL', 40, 221.95]
['2018-09-12 15:20:29', 'AAPL', 43, 221.945]
['2018-09-12 15:21:30', 'AAPL', 36, 222.08]
['2018-09-12 15:22:31', 'AAPL', 30, 222.17]
['2018-09-12 15:23:32', 'AAPL', 23, 222.05]
['2018-09-12 15:24:33', 'AAPL', 23, 222.4]
['2018-09-12 15:25:34', 'AAPL', 26, 222.12]
['2018-09-12 15:26:35', 'AAPL', 33, 222.18]
['2018-09-12 15:27:36', 'AAPL', 33, 222.12]
['2018-09-12 15:28:37', 'AAPL', 30, 222.05]
['2018-09-12 15:29:38', 'AAPL', 13, 222]
['2018-09-12 15:30:38', 'AAPL', 23, 221.96]
['2018-09-12 15:31:39', 'AAPL', 23, 221.69]
['2018-09-12 15:32:43', 'AAPL', 23, 221.77]
['2018-09-12 15:33:43', 'AAPL', 26, 221.44]
['2018-09-12 15:34:44', 'AAPL', 23, 221.35]
['2018-09-12 15:35:45', 'AAPL', 23, 221.36]
['2018-09-12 19:36:51', 'AAPL', 36, 221.07]
['2018-09-13 19:20:09', 'AAPL', 8, -4, 4, 13, 226.41]

['2018-09-13 21:44:21', 'Thursday', 'AAPL', 7, -3, 4, 13, 226.41]
['2018-09-14 14:01:48', 'Friday', 'AAPL', 14, -2, 12, 40, 223.99]
['2018-09-14 14:02:49', 'Friday', 'AAPL', 14, -2, 12, 40, 224.005]
['2018-09-14 14:03:51', 'Friday', 'AAPL', 14, -2, 12, 40, 223.91]
['2018-09-14 14:04:52', 'Friday', 'AAPL', 14, -2, 12, 40, 223.78]
