['time stamp', 'Stock Symbol', 'sentiment ratio', 'stock price (current)']
['2018-09-12 01:54:42', 'AMD', 46, 30.1]
['2018-09-12 01:55:43', 'AMD', 46, 30.1]
['2018-09-12 01:56:44', 'AMD', 46, 30.1]
['2018-09-12 01:57:44', 'AMD', 46, 30.1]
['2018-09-12 01:58:45', 'AMD', 46, 30.1]
['2018-09-12 01:59:46', 'AMD', 43, 30.1]
['2018-09-12 02:00:47', 'AMD', 43, 30.1]
['2018-09-12 02:01:48', 'AMD', 43, 30.1]
['2018-09-12 02:02:48', 'AMD', 46, 30.1]
['2018-09-12 02:03:49', 'AMD', 50, 30.1]
['2018-09-12 02:04:50', 'AMD', 50, 30.1]
['2018-09-12 02:05:51', 'AMD', 50, 30.1]
['2018-09-12 02:06:52', 'AMD', 50, 30.1]
['2018-09-12 02:07:53', 'AMD', 50, 30.1]
['2018-09-12 02:08:53', 'AMD', 50, 30.1]
['2018-09-12 02:09:54', 'AMD', 50, 30.1]
['2018-09-12 02:10:55', 'AMD', 50, 30.1]
['2018-09-12 02:11:56', 'AMD', 50, 30.1]
['2018-09-12 02:12:57', 'AMD', 50, 30.1]
['2018-09-12 02:13:57', 'AMD', 50, 30.1]
['2018-09-12 02:14:58', 'AMD', 50, 30.1]
['2018-09-12 02:15:59', 'AMD', 46, 30.1]
['2018-09-12 02:17:00', 'AMD', 46, 30.1]
['2018-09-12 02:18:00', 'AMD', 50, 30.1]
['2018-09-12 02:19:01', 'AMD', 50, 30.1]
['2018-09-12 02:20:02', 'AMD', 50, 30.1]
['2018-09-12 02:21:03', 'AMD', 50, 30.1]
['2018-09-12 02:22:04', 'AMD', 50, 30.1]
['2018-09-12 02:23:04', 'AMD', 53, 30.1]
['2018-09-12 02:24:05', 'AMD', 53, 30.1]
['2018-09-12 02:25:06', 'AMD', 53, 30.1]
['2018-09-12 02:26:07', 'AMD', 53, 30.1]
['2018-09-12 02:27:07', 'AMD', 53, 30.1]
['2018-09-12 02:28:08', 'AMD', 53, 30.1]
['2018-09-12 08:21:52', 'AMD', 40, 30.1]
